income,age,kidhome,teenhome,marital_divorced,marital_married,marital_single,marital_together,marital_widow,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_prods,mnt_regular_prods,num_web_purchases,num_catalog_purchases,num_store_purchases,accepted_cmp1,accepted_cmp2,accepted_cmp3,accepted_cmp4,accepted_cmp5
-70924,55,0,0,0,1,0,0,0,635,114,254,132,152,76,1211,6,6,7,0,0,0,0,1
-67680,69,0,1,0,0,0,0,1,546,0,48,0,6,6,594,7,3,8,0,0,0,0,0
-49090,69,0,1,0,0,1,NA,0,494,5,82,7,0,100,488,7,2,9,0,0,0,0,0
-77972,66,0,0,0,0,0,1,0,613,22,319,33,102,12,1077,4,6,9,0,0,0,0,0
-30538,49,1,0,0,0,0,1,0,284,0,52,8,3,20,327,9,0,4,0,0,0,0,0
-65808,49,1,1,1,0,0,0,0,155,7,80,13,7,10,252,5,1,5,0,0,0,0,0
-17148,44,1,0,0,1,0,0,0,9,9,11,13,10,16,36,3,1,3,0,0,0,0,0
-15287,41,1,0,1,0,0,0,0,1,2,8,4,3,13,5,1,1,2,0,0,1,0,0
-45057,41,1,0,0,1,0,0,0,37,0,7,3,0,3,44,2,0,3,0,0,0,0,0
-30081,59,0,1,0,0,1,0,0,36,0,NA,0,0,4,34,1,0,3,0,0,0,0,0
-43140,63,0,1,0,1,0,0,0,134,8,76,6,0,11,213,4,1,5,0,0,0,0,0
-79865,66,0,1,1,0,0,0,0,71,99,278,185,121,38,716,5,10,5,0,0,0,0,0
-87171,39,0,0,0,1,0,0,0,1001,44,107,58,44,44,1210,6,7,11,0,0,1,0,1
-22701,43,1,0,0,1,0,0,0,2,4,9,0,4,5,14,1,0,3,0,0,0,0,0
-83837,72,0,0,0,1,0,0,0,847,66,119,86,89,111,1096,9,10,5,1,0,0,1,0
-77457,73,0,0,0,0,1,0,0,675,11,400,15,45,11,1135,2,5,10,0,0,0,0,1
-30523,62,2,1,0,0,1,0,0,5,0,3,0,0,5,3,1,0,2,0,0,0,0,0
-40304,53,1,0,0,0,1,0,0,37,0,17,0,0,3,51,2,0,3,0,0,0,0,0
-18929,30,0,0,0,1,0,0,0,32,0,8,23,4,18,49,1,0,4,0,0,0,0,0
-80685,26,0,0,0,0,0,1,0,241,45,604,34,26,54,896,6,4,10,0,0,0,0,0
-15759,64,0,0,0,1,0,0,0,1,2,5,6,0,3,11,1,0,2,0,0,0,0,0
-78825,56,0,0,1,0,0,0,0,483,74,114,169,37,18,859,5,10,13,0,0,0,0,0
-33569,37,1,0,0,1,0,0,0,16,2,18,3,0,24,15,1,1,2,0,0,1,0,0
-27203,70,1,1,0,0,0,1,0,13,2,21,4,0,24,16,1,1,2,0,0,0,0,0
-70165,71,0,0,0,0,0,0,1,161,0,253,199,191,122,682,3,7,11,0,0,0,0,0
-53977,62,0,1,0,0,0,1,0,620,16,165,0,24,82,743,5,5,12,0,0,0,0,0
-52074,53,0,1,0,0,1,0,0,59,0,12,0,0,48,23,2,2,2,0,0,1,0,0
-56242,51,0,1,0,1,0,0,0,689,8,167,11,8,88,795,8,4,11,0,0,0,0,0
-50200,44,1,1,0,0,0,1,0,266,6,51,8,6,64,273,7,1,5,0,0,0,0,0
-39922,37,1,0,0,1,0,0,0,29,12,59,19,1,36,84,3,0,4,0,0,0,0,0
-64325,59,0,1,1,0,0,0,0,731,60,353,78,12,73,1161,10,3,5,0,0,0,0,0
-43586,40,0,1,0,1,0,0,0,99,2,11,4,0,16,100,3,0,4,0,0,0,0,0
-49431,65,0,1,1,0,0,0,0,219,3,100,26,0,17,331,7,1,5,0,0,0,0,0
-42000,33,0,0,0,0,1,0,0,124,83,267,85,59,35,583,5,2,11,0,0,0,0,0
-58330,45,0,1,0,0,0,0,1,445,53,213,104,98,151,762,6,4,13,0,0,0,0,0
-89891,29,0,0,0,0,0,1,0,412,22,132,59,28,183,470,11,6,8,0,0,0,0,1
-40211,39,1,1,0,1,0,0,0,51,1,7,2,1,25,37,2,1,2,0,0,1,0,0
-22554,65,1,1,0,1,0,0,0,27,0,10,0,0,4,33,2,0,4,0,0,0,0,0
